Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std,Training Time (s),Rank
CatBoost,1.0,1.0,1.0,1.0,1.0,0.9841463414634146,0.013134548310084168,14.14021348953247,1
Extra Trees,1.0,1.0,1.0,1.0,1.0,0.9878048780487804,0.010907648670730692,0.8978986740112305,2
LightGBM,1.0,1.0,1.0,1.0,1.0,0.9841463414634146,0.011309290848165503,0.6828052997589111,3
XGBoost,1.0,1.0,1.0,1.0,1.0,0.9865853658536585,0.010490640569564188,0.5115339756011963,4
Multi-Layer Perceptron,1.0,1.0,1.0,1.0,1.0,0.9865853658536585,0.009756097560975618,11.32132625579834,5
Random Forest,1.0,1.0,1.0,1.0,1.0,0.9817073170731707,0.016361473006096035,1.3854529857635498,6
Decision Tree,0.9853658536585366,1.0,0.9714285714285714,0.9855072463768115,0.9857142857142858,0.9865853658536585,0.009756097560975618,0.053617238998413086,7
Gradient Boosting,0.975609756097561,0.9716981132075472,0.9809523809523809,0.976303317535545,0.9876190476190476,0.9634146341463413,0.010203171055293614,1.2801940441131592,8
SVM (RBF),0.926829268292683,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.9771428571428571,0.9121951219512194,0.0195121951219512,0.425889253616333,9
AdaBoost,0.8829268292682927,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.940952380952381,0.8914634146341462,0.008961547839450659,0.7897391319274902,10
K-Nearest Neighbors,0.8634146341463415,0.8737864077669902,0.8571428571428571,0.8653846153846153,0.9629047619047618,0.85,0.03690913646444281,0.10308504104614258,11
Gaussian Naive Bayes,0.8292682926829268,0.8070175438596491,0.8761904761904762,0.8401826484018265,0.9042857142857142,0.8231707317073169,0.020406342110587186,0.03002023696899414,12
Quadratic Discriminant Analysis,0.8292682926829268,0.8070175438596491,0.8761904761904762,0.8401826484018265,0.9340952380952381,0.8414634146341463,0.011569308512811153,0.03543806076049805,13
SVM (Linear),0.8146341463414634,0.7637795275590551,0.9238095238095239,0.8362068965517242,0.9248571428571428,0.8560975609756097,0.012555646513398792,0.5829806327819824,14
Bernoulli Naive Bayes,0.8146341463414634,0.7964601769911505,0.8571428571428571,0.8256880733944955,0.9079999999999999,0.8353658536585366,0.018892601688816648,0.03691363334655762,15
SGD Classifier,0.8097560975609757,0.746268656716418,0.9523809523809523,0.8368200836820083,0.9154285714285715,0.8012195121951219,0.029521264480268764,0.053663015365600586,16
Logistic Regression,0.8097560975609757,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.9298095238095239,0.8439024390243903,0.023959613054132304,0.06656217575073242,17
Ridge Classifier,0.8048780487804879,0.751937984496124,0.9238095238095239,0.8290598290598291,0.9266666666666666,0.8365853658536585,0.020186518728349805,0.04506731033325195,18
Linear SVC,0.8048780487804879,0.7559055118110236,0.9142857142857143,0.8275862068965518,0.9296190476190477,0.8390243902439025,0.026884643518351948,0.16964101791381836,19
Linear Discriminant Analysis,0.8048780487804879,0.751937984496124,0.9238095238095239,0.8290598290598291,0.9266666666666667,0.8365853658536585,0.020186518728349805,0.05868887901306152,20
